id,parent_id,name,display_name,tier1,tier2,tier3,tier4,path,depth,is_leaf,children_count
1,,Automotive,Automotive: Automotive,Automotive,,,,Automotive,1,False,16
2,1,Auto Body Styles,Automotive: Auto Body Styles,Automotive,Auto Body Styles,,,Automotive > Auto Body Styles,2,False,13
3,2,Commercial Trucks,Automotive: Commercial Trucks,Automotive,Auto Body Styles,Commercial Trucks,,Automotive > Auto Body Styles > Commercial Trucks,3,True,0
4,2,Sedan,Automotive: Sedan,Automotive,Auto Body Styles,Sedan,,Automotive > Auto Body Styles > Sedan,3,True,0
5,2,Station Wagon,Automotive: Station Wagon,Automotive,Auto Body Styles,Station Wagon,,Automotive > Auto Body Styles > Station Wagon,3,True,0
6,2,SUV,Automotive: SUV,Automotive,Auto Body Styles,SUV,,Automotive > Auto Body Styles > SUV,3,True,0
7,2,Van,Automotive: Van,Automotive,Auto Body Styles,Van,,Automotive > Auto Body Styles > Van,3,True,0
8,2,Convertible,Automotive: Convertible,Automotive,Auto Body Styles,Convertible,,Automotive > Auto Body Styles > Convertible,3,True,0
9,2,Coupe,Automotive: Coupe,Automotive,Auto Body Styles,Coupe,,Automotive > Auto Body Styles > Coupe,3,True,0
10,2,Crossover,Automotive: Crossover,Automotive,Auto Body Styles,Crossover,,Automotive > Auto Body Styles > Crossover,3,True,0
11,2,Hatchback,Automotive: Hatchback,Automotive,Auto Body Styles,Hatchback,,Automotive > Auto Body Styles > Hatchback,3,True,0
12,2,Microcar,Automotive: Microcar,Automotive,Auto Body Styles,Microcar,,Automotive > Auto Body Styles > Microcar,3,True,0
13,2,Minivan,Automotive: Minivan,Automotive,Auto Body Styles,Minivan,,Automotive > Auto Body Styles > Minivan,3,True,0
14,2,Off-Road Vehicles,Automotive: Off-Road Vehicles,Automotive,Auto Body Styles,Off-Road Vehicles,,Automotive > Auto Body Styles > Off-Road Vehicles,3,True,0
15,2,Pickup Trucks,Automotive: Pickup Trucks,Automotive,Auto Body Styles,Pickup Trucks,,Automotive > Auto Body Styles > Pickup Trucks,3,True,0
16,1,Auto Type,Automotive: Auto Type,Automotive,Auto Type,,,Automotive > Auto Type,2,False,8
17,16,Budget Cars,Automotive: Budget Cars,Automotive,Auto Type,Budget Cars,,Automotive > Auto Type > Budget Cars,3,True,0
18,16,Certified Pre-Owned Cars,Automotive: Certified Pre-Owned Cars,Automotive,Auto Type,Certified Pre-Owned Cars,,Automotive > Auto Type > Certified Pre-Owned Cars,3,True,0
19,16,Classic Cars,Automotive: Classic Cars,Automotive,Auto Type,Classic Cars,,Automotive > Auto Type > Classic Cars,3,True,0
20,16,Concept Cars,Automotive: Concept Cars,Automotive,Auto Type,Concept Cars,,Automotive > Auto Type > Concept Cars,3,True,0
