id,parent_id,name,display_name,path,depth,is_leaf,children_count,description,boundaries
1,,Automotive,Automotive: Automotive,Automotive,1,False,16,"This category encompasses content related to motor vehicles, driving, automotive services, and vehicle-related topics.","Automotive is distinguished from its siblings by its exclusive focus on vehicles and motoring matters, rather than covering broader lifestyle, entertainment, professional, or recreational subjects."
2,1,Auto Body Styles,Automotive: Auto Body Styles,Automotive > Auto Body Styles,2,False,13,"Content describing the structural configurations and exterior designs that categorize passenger and commercial vehicles based on their physical form, seating arrangement, cargo capacity, and overall silhouette.","This category focuses on the distinctive body configurations and shapes of vehicles themselves, while sibling categories address vehicle ownership (Auto Buying and Selling, Auto Rentals), vehicle-specific content types (Dash Cam Videos, Auto Shows), vehicle classes by purpose (Auto Type), and vehicle-related services or information (Auto Repair, Auto Insurance, Auto Safety)."
3,2,Commercial Trucks,Automotive: Commercial Trucks,Automotive > Auto Body Styles > Commercial Trucks,3,True,0,"Content about large commercial vehicles designed primarily for transporting goods or passengers in a business context, including box trucks, flatbeds, dump trucks, and semi-tractors.","This category covers purpose-built commercial hauling vehicles, whereas Pickup Trucks are lighter-duty vehicles often used for personal use, Vans are smaller enclosed cargo vehicles, and Off-Road Vehicles are designed for terrain rather than commercial transport capacity."
4,2,Sedan,Automotive: Sedan,Automotive > Auto Body Styles > Sedan,3,True,0,"A sedan is a passenger automobile with four doors, a separate trunk, and seating for four to five adults in two or three rows.","Sedans are distinguished from their siblings by their enclosed four-door design with a dedicated trunk compartment, separating them from two-door coupes, open-top convertibles, utility-focused trucks and vans, and higher-riding crossovers and SUVs."
5,2,Station Wagon,Automotive: Station Wagon,Automotive > Auto Body Styles > Station Wagon,3,True,0,A station wagon is a passenger vehicle with an extended cargo area that blends a sedan's front cabin with an elongated rear section for transporting large items while maintaining a car-like driving experience.,"Station wagons differ from sedans by having significantly extended rear cargo space beyond the rear wheels, from SUVs and crossovers by using traditional car platforms rather than truck-based construction, and from vans and minivans by prioritizing sedan-like proportions and performance over maximum interior volume."
6,2,SUV,Automotive: SUV,Automotive > Auto Body Styles > SUV,3,True,0,"Content about sport utility vehicles designed primarily for personal or family use, featuring elevated seating, rugged construction, and typically three rows of passenger capacity with a separate cargo area.","SUVs are distinguished from crossovers by their body-on-frame construction and truck-based chassis, from pickups by their fully enclosed passenger cabin prioritizing seating over cargo flexibility, and from vans by their higher ground clearance and more angular, off-road-oriented design."
7,2,Van,Automotive: Van,Automotive > Auto Body Styles > Van,3,True,0,"A van is a large, boxy passenger or cargo vehicle with an extended cargo area, typically seating 8-15 people or configured primarily for freight transport, with a single-tier cargo floor extending to the rear doors.","Vans are distinguished from minivans by their significantly larger size and commercial-grade capacity, from station wagons by their fully enclosed and elevated cargo areas rather than integrated trunk designs, from SUVs by their unibody construction and prioritization of interior volume over off-road capability, and from pickup trucks by their fully enclosed cargo areas rather than open beds."
8,2,Convertible,Automotive: Convertible,Automotive > Auto Body Styles > Convertible,3,True,0,"Convertible vehicles are automobiles with retractable or removable roof systems that allow open-air driving, typically seating four to five passengers and prioritizing personal transportation over cargo capacity.","Convertibles are distinguished from siblings by their defining feature of a retractable or removable roof mechanism, whereas sedans and coupes have fixed roofs, commercial and pickup trucks prioritize cargo, vans and minivans emphasize passenger/cargo space, SUVs and crossovers focus on elevated seating and all-terrain capability, and hatchbacks and microcars serve different size or utility segments."
9,2,Coupe,Automotive: Coupe,Automotive > Auto Body Styles > Coupe,3,True,0,"A coupe is a passenger automobile with two doors, a sporty design, and typically seating for four or fewer occupants with an emphasis on performance or styling.","A coupe is distinguished from sedans and station wagons by having only two doors instead of four, from convertibles by having a fixed roof, from hatchbacks by having a separate trunk, and from all commercial and utility vehicles by being designed exclusively for personal passenger use."
10,2,Crossover,Automotive: Crossover,Automotive > Auto Body Styles > Crossover,3,True,0,"Crossovers are vehicles built on a car platform with an elevated ride height, combining sedan comfort with SUV-like styling and increased cargo space.","Crossovers differ from SUVs by using unibody car construction rather than body-on-frame, from station wagons by having higher ground clearance and more rugged styling, and from vans and minivans by prioritizing individual seating and lower rooflines over maximum interior volume."
